Redshift,Distance
0.235,891.0
0.332,1200.0
0.221,844.0
0.602,1880.0
0.366,1290.0
0.158,624.0
0.215,824.0
0.547,1760.0
0.483,1610.0
0.369,1300.0
0.337,1210.0
0.458,1540.0
0.612,1900.0
0.368,1300.0
0.321,1160.0
0.512,1680.0
0.6,1880.0
0.273,1010.0
0.082,337.0
0.228,867.0
0.163,642.0
0.292,1070.0
0.129,517.0
0.33,1190.0
0.88,2390.0
0.56,1790.0
0.175,675.0
0.4,1390.0
0.16,631.0
0.01,0.0461
0.012,0.0483
0.008,0.0483
0.012,0.0488
0.016,0.0506
0.016,0.0511
1.78,3300.0
3.05,3790.0
6.06,4110.0
7.3,4160.0
2.3,3560.0
1.95,3400.0
10.8,4220.0
0.69,2060.0
1.92,3380.0
0.86,2360.0
2.67,3690.0
0.33,1170.0
2.99,3780.0
3.81,3930.0
0.57,1810.0
3.43,3870.0
2.28,3550.0
1.1,2700.0
0.75,2170.0
1.44,3050.0
3.56,3890.0
1.61,3190.0
1.52,3120.0
0.71,2100.0
2.26,3160.0
1.8,2880.0
5.88,4110.0
0.1,407.0
2.9,3750.0
1.13,2740.0
3.93,3940.0
1.49,3090.0
0.61,1900.0
1.46,3070.0
1.18,2790.0
0.485,1610.0
0.497,1640.0
0.51,1670.0
0.49,1620.0
2.53,3650.0
0.36,1280.0
9.5,4210.0
0.14,560.0
1.37,2990.0
0.18,702.0
1.79,3310.0
0.191,741.0
0.074,305.0
0.236,894.0
0.22,841.0
0.234,887.0
1.21,2830.0
0.233,884.0
3.03,3790.0
0.53,1720.0
0.95,2500.0
0.224,854.0
2.36,3590.0
0.625,1930.0
0.169,663.0
0.195,755.0
0.687,2060.0
0.495,1640.0
0.43,1470.0
0.691,2060.0
0.201,776.0
0.9,2420.0
0.062,257.0
0.223,851.0
0.409,1410.0
0.123,495.0
1.38,3000.0
0.348,1240.0
0.022,93.2
0.449,1520.0
0.297,1090.0
0.453,1530.0
0.125,502.0
0.174,681.0
0.64,1960.0
0.29,1070.0
0.462,1550.0
0.542,1750.0
0.447,1510.0
0.302,1100.0
0.206,793.0
0.329,1190.0
1.34,2960.0
0.166,653.0
0.59,1850.0
0.194,752.0
0.153,606.0
0.575,1820.0
0.548,1760.0
0.327,1180.0
0.148,587.0
0.118,476.0
0.208,800.0
0.574,1820.0
0.448,1520.0
0.311,1130.0
0.524,1700.0
0.401,1390.0
0.101,411.0
0.507,1660.0
0.672,2030.0
0.135,539.0
0.582,1840.0
0.189,734.0
0.256,960.0
0.162,638.0
0.591,1860.0
3.69,3910.0
0.65,1980.0
0.253,950.0
0.655,1990.0
0.386,1350.0
0.188,731.0
0.31,1130.0
0.326,1180.0
0.669,2020.0
0.62,1920.0
0.072,297.0
0.438,1490.0
0.364,1290.0
0.685,2050.0
0.44,1500.0
0.092,376.0
0.642,1970.0
0.278,1030.0
0.415,1430.0
4.2,3980.0
3.22,3830.0
1.11,2710.0
0.505,1660.0
0.152,602.0
0.306,1120.0
0.454,1530.0
0.488,1620.0
0.025,106.0
0.25,940.0
0.139,554.0
0.408,1410.0
0.054,225.0
0.136,543.0
0.427,1460.0
0.521,1700.0
0.688,2060.0
0.571,1810.0
0.035,147.0
